['अनौपचारिकता', 'अनौपचारिकीकरण', 'लिएपाठ्यक्रमअनौपचारिक', 'निरौपचारिक', 'अनौपचारिका', 'औपचारिक', 'पचारिक']
['कोसच्चा', 'amसच्चा', 'pmसच्चा', 'हैसच्चा', 'AMसच्चा', 'सच्चातभी', 'है.सच्चा']
['अंग्रेज़ी', 'अंग्रेजीकोश', 'अंगरेजी', 'अंग्रेज़ी', 'अंग्रेजीयत', 'अंग्रेजी1', 'है.अंग्रेजी']
['आयरिशा', 'आयरिश:Tiarnas', 'लोगआयरिश', 'आयरिशकाई', 'नईइसी', 'है.आयरिश', 'आयरिशों']
['मुहावरेदारी', 'मुहावरें', 'महावरेदार', 'मुहावरो', 'मुहावरै', 'मुहावरत', 'मुहावर']
['तोमोमी', 'मोमीतो', 'च्यूँटी', 'लजीला', 'छोए', 'साक़', 'लसदार']
['जलोढ', 'जलोढ़ी', 'जलोढक', 'कैंथां', 'लोढ़', 'लिलोढ़', 'नैसगिक']
['सीरियाईयों', 'युद्धसीरियाई', 'बरामदसीरिया', '6सीरिया', 'सीरियाः', 'बच्चेसीरिया', 'सीरियान']
['अधिशाषी', 'अधिशासित', 'अधिशासकीय', 'प्रधानाशिक्षक', 'हिशासी', 'अधिशासन', 'अधीशासी']
['अतिसंकुचित', 'संकुचि', 'संकुचितता', 'क्रमसंकुचित', 'सँकुचित', 'सकुचित', 'संकुचण']
['पूर्वाग्रही', 'दुराग्रहवश', 'दुराग्रहपूर्ण', 'दुराग्रहता', 'कदाग्रही', 'मताग्रही', 'दुराग्रह']
['619600', 'खौगोलिक', 'भौगौलिक', 'पुराभौगोलिक', 'भौगोलिकीय', 'भूगोलिक', 'जैवभौगोलिक']
['ब्रितानियाई', 'ब्रितानिया', 'लड़काब्रितानी', 'हैं.ब्रितानी', 'आर२००७ब्रितानी', 'ब्रितानियों', 'ब्रिटिश']
['तुर्कीः', 'तुर्कीस', 'तुर्कः', 'तुर्गट', 'तिब्वत', 'बतमान', 'तुर्की1']
['मेक्सिकैली', 'मेक्सिक़ो', 'मेक्सिकोविचित्र', 'मेक्सिकंस', 'मेक्सिकोः', 'औरतमेक्सिकन', 'मैथुनमेक्सिकनमॉन्स्टरमौखिकययहूदी']
['WWW.SATTAMATKAKURLADAY.COMWWW.SATTAMATKAKURLA.COMWWW.KURLASATTA.COMWWW.SATTAKURLADAY.COMWWW.SATTAKURLADAY.INWWW.KURLASATTAKURLA.INWWW.KURLASATTAKURLA.COMWWW.KURLASATTA.INWWW.KURLABAZAR.COMWWW.SATTA1', 'seBRc0nLfCqliwPLckkYjLT_1Wc78LsTtWg4kRo7VHSdXLoybKvHIsAnIT4ujxWK7wm5no6lSp48LfYvTOUMGcDAri4kKu1jtxIGfyQi0aIKKfF06Te2g5xX9QaLDaP6zkwor3Bvth7JXGRPF4cWl16J71IdBOtdvYWNstkBv382rz2Pep4yOxuofe0cF7fyG5rabvoewCHanUAziF6xv413gBpiFxoXNpn28I3XKDolWVtUZoeH7Pn0CWA', '39303', 'COMWWW.SATTAMATKAK.COMWWW.SATTAMATKAK.NETWWW.SATTAMATKANO1K.COMWWW.SATTAMATKANO1K.INWWW.SATTAMATKANO1K.NET', 'ADGEEShx7HVWrj5O1ApMvRhTadAD5ySj9DMqao7bVw1goXTK0tjcsrn5fFgmebObrlrginLHYDIK4PNARtVcvjRrvFsy4hEFTgioKvJxEo1A9O7ZMHSRz4d5tcx4VgtU', 'भक्तक', 'सिमलीपालसोनपुरप्रधानपटनृसिम्हनाथमिरिगलोठाखंडुआलाहरिशंकरस्नाघाघराबढ़घाघरा']
['साऊदी', 'अमीरिट', 'अमिरात', 'इमारा', 'इमिरेट्स', 'अमारात', 'डॉलर']
['अलअरबी', 'رابونزيل', 'देशअरबी', 'हैअरबी', 'लिए:अरबी', 'hasiaअरबी', 'अरबअरबी']
['आस्ट्रेलिया_दिवस', 'आस्ट्रेलियाईयों', 'आस्ट्रेलियाउपविजेता', 'सिटीगंगटोकगयागाज़ियाबादगिरिडीहगीज़ाग्लैस्टनबरीगोलाघाटगोरखपुरगुनागुंटूरगुड़गांवगुरुवायुरगुवाहाटीग्वालियरहैमिल्टनहनुमानगढ़हावड़ाहापुड़हरदोईहरिद्वारहजारीबागहिन्डौनहिसारहोबार्टहोशंगाबादहोशियारपुरहैदराबादइडुक्कीइंदौरजबलपुरजगाधरीजगदलपुरजयपुरजैसलमेरजालंधरजम्मूजामनगरजमशेदपुरजौनपुरझांसीझुंझुनूंजींदजोधपुरजूनागढ़जुंगफ्राउकैथलकल्याण', 'संयुक्तऑस्ट्रेलियाईखाड़ी', 'पाकिस्तान_के_प्रधानमंत्रियों_की_सूची', 'माथेरानकन्याकुमारीकन्नूरकानपुरकन्याकुमारीकर्नालकाशीपुरकाठमांडूकटनीकेदारनाथखजुराहोखंडालाखंडवाखन्नाखरगोनकिशनगढ़कोच्चिकोडगुकोडईकनालकोलकाताकोणार्ककोरबाकोटाकोझीकोडकुल्लूलेहल्हासालोम्बार्डीलोनीएन्क्लेवलखनऊलुधियानामदुरईमहाबलेश्वरमहाबलीपुरममलेरकोटलामनालीमंदसौरमंगलोरमथुरामऊमक्कामेरठमेलबोर्नमिर्जापुरमोगामोहालीमुरादाबादमुरैनामाउंट']
['ADGEEShx7HVWrj5O1ApMvRhTadAD5ySj9DMqao7bVw1goXTK0tjcsrn5fFgmebObrlrginLHYDIK4PNARtVcvjRrvFsy4hEFTgioKvJxEo1A9O7ZMHSRz4d5tcx4VgtU', '2370Feb27', 'seBRc0nLfCqliwPLckkYjLT_1Wc78LsTtWg4kRo7VHSdXLoybKvHIsAnIT4ujxWK7wm5no6lSp48LfYvTOUMGcDAri4kKu1jtxIGfyQi0aIKKfF06Te2g5xX9QaLDaP6zkwor3Bvth7JXGRPF4cWl16J71IdBOtdvYWNstkBv382rz2Pep4yOxuofe0cF7fyG5rabvoewCHanUAziF6xv413gBpiFxoXNpn28I3XKDolWVtUZoeH7Pn0CWA', 'CGbYld41FmtPmwDscz_1zkedyrXOvcY2m7pEiQFGb_1c7CAwzcBDAxf9wxFkSxLc8MUG4KPJcQwpq6YW6SMG29NmuE37Itq37AKobeUZJorkdDg8_144tuJuKOp9X60_14R9P7kZ1gYLEu1nMm_1qe8nWxBrNsJ7bprTRzCo1x9I0anzqRfCaSD6EOeFhwE_1CDWKU5jBBCoKfrCI3NLz6', 'sbi:AMhZZisqTLXaOzhgdli8Ndw1Sw0BtFpXWiTkWwiTIU2VgeuDGJy45jazHOr_1hJA4Qm5NFwk5RB9d1W8orFny0EBvUMSFYtJ1hDA6uG8q41f4IiijZfFVBotW3yCdYy1vchgpaFDteEdOqY', 'MI8wplgAAABK7OLuOm601guSX11NJCePSLxAwKMzGdVockHONNBqH0y6N1_xtbfV5ap5icbe9ODsPcziNXt_y0cZYpHvtBF9d1W9Ky9EyNqZEKqEg0wTWBo1YHcDYvgcK1MwRk9oTs4', 'Djdiejeijehjdofoxjdbsisixudksieiejehwieieifhfooggoehwggueidifhegeieodifrveheiodgogojrjtkrotoyooyot']
['सौरेनी', 'बहरेहाल', 'ਪੰਜਾਬੀગુજરાતીଓଡ଼ିଆதமிழ்తెలుగుಕನ್ನಡമലയാളംසිංහලไทยខ្មែរትግርኛአማርኛ', '1705070806', 'seBRc0nLfCqliwPLckkYjLT_1Wc78LsTtWg4kRo7VHSdXLoybKvHIsAnIT4ujxWK7wm5no6lSp48LfYvTOUMGcDAri4kKu1jtxIGfyQi0aIKKfF06Te2g5xX9QaLDaP6zkwor3Bvth7JXGRPF4cWl16J71IdBOtdvYWNstkBv382rz2Pep4yOxuofe0cF7fyG5rabvoewCHanUAziF6xv413gBpiFxoXNpn28I3XKDolWVtUZoeH7Pn0CWA', 'WWW.SATTAMATKAKURLADAY.COMWWW.SATTAMATKAKURLA.COMWWW.KURLASATTA.COMWWW.SATTAKURLADAY.COMWWW.SATTAKURLADAY.INWWW.KURLASATTAKURLA.INWWW.KURLASATTAKURLA.COMWWW.KURLASATTA.INWWW.KURLABAZAR.COMWWW.SATTA1', 'CGbYld41FmtPmwDscz_1zkedyrXOvcY2m7pEiQFGb_1c7CAwzcBDAxf9wxFkSxLc8MUG4KPJcQwpq6YW6SMG29NmuE37Itq37AKobeUZJorkdDg8_144tuJuKOp9X60_14R9P7kZ1gYLEu1nMm_1qe8nWxBrNsJ7bprTRzCo1x9I0anzqRfCaSD6EOeFhwE_1CDWKU5jBBCoKfrCI3NLz6']
['बँगलादेशी', 'बंगलादेशीयों', 'बगलादेशी', 'बंगलादेशियों', 'बंगलादेषी', 'बांग्लादेशी', 'बंगलादेशियो']
['बारबंकी', 'बारबस', 'बारबना', 'बारबरीका', 'बारबुदा', 'बारबा', 'बारब']
['गैरबंगाली', '21बंगाली', 'इलिशबंगाली', 'दुजोने', 'बंगालियों', 'करकचा', 'मेंबंगाली']
['बरमूड़ा', 'बारमूडा', 'बरमूडे', 'बरमूडा', 'मूडा', 'सिटीगंगटोकगयागाज़ियाबादगिरिडीहगीज़ाग्लैस्टनबरीगोलाघाटगोरखपुरगुनागुंटूरगुड़गांवगुरुवायुरगुवाहाटीग्वालियरहैमिल्टनहनुमानगढ़हावड़ाहापुड़हरदोईहरिद्वारहजारीबागहिन्डौनहिसारहोबार्टहोशंगाबादहोशियारपुरहैदराबादइडुक्कीइंदौरजबलपुरजगाधरीजगदलपुरजयपुरजैसलमेरजालंधरजम्मूजामनगरजमशेदपुरजौनपुरझांसीझुंझुनूंजींदजोधपुरजूनागढ़जुंगफ्राउकैथलकल्याण', 'Postsअलीगढ़आगराआजमगढ़इटावाइलाहाबादएटाकानपुरकासगंजकुशीनगरकौशाम्बीगाजियाबादगाजीपुरगोरखपुरचित्रकूटजौनपुरझांसीदेवरियानोएडापीलीभीतप्रतापगढ़फतेहपुरफर्रुखाबादफिरोजाबादफैजाबादबदायूंबरेलीबलियाबहराइचबांदाबाराबंकीबिजनौरबुलंदशहरभदोहीमथुरामहोबामिर्जापुरमुज्जफरनगरमुरादाबादमेरठमैनपुरीरामपुररायबरेलीलखनऊलखीमपुर']
['भूटानीज़', 'भूटानियों', 'भूटान', 'भूटानी_शरणार्थी', 'भूटार', 'भूटानवासियों', 'है.भूटान']
['बुल्गारियन', 'बुल्गारियी', 'बुल्गारिय', 'बुल्ग़ारियाई', 'बल्गारियाई', 'बुल्गारियनबेलारुसिअनबॉस्कबोसनियन', 'बुल्गारिश']
['बर्मी_युद्ध', 'बर्मीज़', 'बर्मीकृत', 'बर्मीज', 'အမျိုးသား', 'बर्मा', 'पार्गू']
['एंडोरमेंट', 'एंडोरफिन', 'ADGEEShx7HVWrj5O1ApMvRhTadAD5ySj9DMqao7bVw1goXTK0tjcsrn5fFgmebObrlrginLHYDIK4PNARtVcvjRrvFsy4hEFTgioKvJxEo1A9O7ZMHSRz4d5tcx4VgtU', 'इकडोरी', 'माथेरानकन्याकुमारीकन्नूरकानपुरकन्याकुमारीकर्नालकाशीपुरकाठमांडूकटनीकेदारनाथखजुराहोखंडालाखंडवाखन्नाखरगोनकिशनगढ़कोच्चिकोडगुकोडईकनालकोलकाताकोणार्ककोरबाकोटाकोझीकोडकुल्लूलेहल्हासालोम्बार्डीलोनीएन्क्लेवलखनऊलुधियानामदुरईमहाबलेश्वरमहाबलीपुरममलेरकोटलामनालीमंदसौरमंगलोरमथुरामऊमक्कामेरठमेलबोर्नमिर्जापुरमोगामोहालीमुरादाबादमुरैनामाउंट', 'शॉटपेशाबपेशाबमूत्रgoldenshowerwatersportswampeedrinkingpissdrinkingलुभानामनोहरtightpussyरसदारcollegegirlदिलेरघुड़सालtwinkस्टड्सपुरुषोंसहbarebackedनस्लcumswapप्रजननस्नोबॉलशरीरमांसपेशीआदमीअप्रेंटिसमैलासमयपहलेगड़बड़साथयहसुबहक्लिपdrilledभगशेफdoggingअसभ्यशुक्राणुjizzपिटाई', '1705070806']
['सामंजित', 'आशिंजित', 'संजित', 'रागरंजित', 'AMरंजित', 'आरंजित', 'अंतिरंजित']
['क्रिओला', 'क्रिओल्स', 'क्रेओल', 'क्रियोल', 'क्रिओसोट', 'क्रिओलीकरण', 'भाषाa']
['संगठनविभागीय', 'अंतविभागीय', 'बिभागीय', 'विभाग', 'अनुविभागीय', 'विभागाें', 'भूमिविभागीय']
['अंतरानुशासनिक', 'अन्तरानुशासनिक', 'पशासनिक', 'आन्तरानुशासनिक', 'अनुशादसनिक', 'अनुशासनो', 'अनुशासनीय']
['अघरेलू', 'है.घरेलू', 'उपचारघरेलू', 'pmघरेलू', 'उपायघरेलू', '3घरेलू', 'नुस्खेHome']
['डोमिनिकाना', 'डोमिनिकल', '15डोमिनिका', 'डोमिनि', 'डोमिनिकैन', 'डोमिनिकनों', 'डोमिनिकवासी']
['ईरिट्रिया', 'हंगेइरियाई', 'अइसौरियाई', 'एरिट्रियन', 'आईबेरियाई', 'ईबैरियाई', 'अलजीरियाई']
['इथियोपियाइ', 'इथोयोपियाई', 'इथियोपिय', 'इथियोपियाई_साहित्य', 'इथियोपिआ', 'ईथियोपिया', 'इथियोपिया']
['फिलिपीनस', 'फिलिपीनो', 'फिलिपीन्सवासी', 'फिलिपीना', 'फिलिपीन्स', 'फिलिपीन', 'फ़िलिपीनी']
['गौराबाई', 'मीनाबाई', 'रूपाबाई', 'चंपाबाई', 'लूलाबाई', 'आशाबाई', 'नैनाबाई']
['गाम्बियन', 'गाम्बिय', 'जाम्बियाई', 'गाम्बिया', 'ज़ाम्बिया', 'कोलॉम्बियाई', 'नाम्बिया']
['जार्जियो', 'जार्जिआ', 'जार्जिया', 'ओल्जियाई', 'जार्जट', 'जॉरिजियाई', 'जार्जबुश']
['विथिगोथिक', 'विजीगोथिक', 'गोथिल', 'विस्गोथिक', 'गोथिज', 'गोथि', 'विसिगोथिक']
['विथिगोथिक', 'विजीगोथिक', 'गोथिल', 'विस्गोथिक', 'गोथिज', 'गोथि', 'विसिगोथिक']
['ग्रेनैट', 'ग्रेनिएर', 'ग्रेनुअल्स', 'ग्रेनाजिनस', 'ग्रेनेट', 'ग्रेनिश', 'ग्रेनोब्ल']
['गॉटेमाला', 'ग्वाटेमाल', 'ग्वाटेमाला', 'ग्वाटेमाली', 'गुआटेमाला', '30.93', '4,110,015']
['टैहिटियन', 'डलमैटियन', 'इजीप्टियन', 'डोमिटियन', 'किटियन', 'क्रिश्टियन', 'टर्टियन']
['द्रवचालन', 'वचालित', 'जलचालित', 'मानवचालित', 'बहुचालित', 'वायुचालित', 'विद्युच्चालित']
['आइसलैंडि', 'आइसलैंडिया', 'आइसलैंडवासी', 'आइसलैंडर', 'आइसलैंड्स', 'आइसलैंडिका', 'आइसलैंडिक']
['अजनजातीय', 'जनजातीयों', 'मासीवालजनजातीय', 'सम्मानजनजातीय', 'कथायेंजनजातीय', 'जनजाती', 'समुदाय']
['है.ईरानी', 'तुलबा', 'कायोज', 'ईरानी5', 'कायोज़', 'तूरानी', 'बोमन']
['ADGEEShx7HVWrj5O1ApMvRhTadAD5ySj9DMqao7bVw1goXTK0tjcsrn5fFgmebObrlrginLHYDIK4PNARtVcvjRrvFsy4hEFTgioKvJxEo1A9O7ZMHSRz4d5tcx4VgtU', '1705070806', 'seBRc0nLfCqliwPLckkYjLT_1Wc78LsTtWg4kRo7VHSdXLoybKvHIsAnIT4ujxWK7wm5no6lSp48LfYvTOUMGcDAri4kKu1jtxIGfyQi0aIKKfF06Te2g5xX9QaLDaP6zkwor3Bvth7JXGRPF4cWl16J71IdBOtdvYWNstkBv382rz2Pep4yOxuofe0cF7fyG5rabvoewCHanUAziF6xv413gBpiFxoXNpn28I3XKDolWVtUZoeH7Pn0CWA', 'जॉबटीनटूनटेनिसटैटूटॉपलेसट्विंकडडचडबलडीपथ्रोटडेस्कततंगतिकड़ीतुर्कीथथाईथोंगददर्ददाईदादादादीदिखावटीदुर्व्यवहारदुल्हनदूधधधारा', 'सिटीगंगटोकगयागाज़ियाबादगिरिडीहगीज़ाग्लैस्टनबरीगोलाघाटगोरखपुरगुनागुंटूरगुड़गांवगुरुवायुरगुवाहाटीग्वालियरहैमिल्टनहनुमानगढ़हावड़ाहापुड़हरदोईहरिद्वारहजारीबागहिन्डौनहिसारहोबार्टहोशंगाबादहोशियारपुरहैदराबादइडुक्कीइंदौरजबलपुरजगाधरीजगदलपुरजयपुरजैसलमेरजालंधरजम्मूजामनगरजमशेदपुरजौनपुरझांसीझुंझुनूंजींदजोधपुरजूनागढ़जुंगफ्राउकैथलकल्याण', 'जॉबटीनटूनटेनिसटैटूटॉपलेसट्विंकडडचडबलडेस्कततंगतिकड़ीतुर्कीथथोंगददर्ददाईदादादादीदिखावटीदुर्व्यवहारदुल्हनदूधधधारा', 'जॉबटीनटूनटेनिसटॉपलेसट्विंकडडचडेस्कततंगतिकड़ीतुर्कीथथोंगददर्ददाईदादादिखावटीदुर्व्यवहारदुल्हनदूधदृश्यरतिधधारा']
['जावा_', 'जावानी', 'जावांला', 'जावाभाषा', 'जावानीस', 'जावानीज़', 'जावाख़ेती']
['जार्ड', 'जार्डन', 'जार्डिनियम', 'जार्डेनकी', 'जार्मुश', 'विजार्डन', 'जार्क']
['कज़ाकोफ', 'कज़ाकों', 'कज़ाए', 'कोज़ाक', 'कज़ार', 'कज़ावीनी', 'कज़ाख']
['केन्या', 'केन्यात्ता', 'केन्याकम्पाला', 'केन्याभाषण', 'केन्योन', 'केन्ये', 'किन्याई']
['P3717कुवैत', 'कुवैतियों', 'कुवैतुल', 'सिटीगंगटोकगयागाज़ियाबादगिरिडीहगीज़ाग्लैस्टनबरीगोलाघाटगोरखपुरगुनागुंटूरगुड़गांवगुरुवायुरगुवाहाटीग्वालियरहैमिल्टनहनुमानगढ़हावड़ाहापुड़हरदोईहरिद्वारहजारीबागहिन्डौनहिसारहोबार्टहोशंगाबादहोशियारपुरहैदराबादइडुक्कीइंदौरजबलपुरजगाधरीजगदलपुरजयपुरजैसलमेरजालंधरजम्मूजामनगरजमशेदपुरजौनपुरझांसीझुंझुनूंजींदजोधपुरजूनागढ़जुंगफ्राउकैथलकल्याण', 'चुनेअबोहरएडिलेडआदित्यपुरआगराअहमदनगरअहमदाबादअजमेरअलप्पुझाअलीगढ़इलाहाबादअलवरअमरावतीअंबालाअंबिकापुरअमृतसरअमरोहाऑकलैंडऔरंगाबादबदौनबद्रीनाथबहादुरगढ़बहराइचबालाघाटबाँदाबंगलुरुबारांबरेलीबरनालाबस्तरबटालाबठिंडाब्यावरबीजिंगभरतपुरभिलाईभीलवाड़ाभिंडभिवाड़ीभिवानीभोपालभुवनेश्वरबीजापुरबीकानेरबिलासपुरबोकारोब्रिस्बेनबुलंदशहरबूंदीबुरहानपुरकैनबरा', 'माथेरानकन्याकुमारीकन्नूरकानपुरकन्याकुमारीकर्नालकाशीपुरकाठमांडूकटनीकेदारनाथखजुराहोखंडालाखंडवाखन्नाखरगोनकिशनगढ़कोच्चिकोडगुकोडईकनालकोलकाताकोणार्ककोरबाकोटाकोझीकोडकुल्लूलेहल्हासालोम्बार्डीलोनीएन्क्लेवलखनऊलुधियानामदुरईमहाबलेश्वरमहाबलीपुरममलेरकोटलामनालीमंदसौरमंगलोरमथुरामऊमक्कामेरठमेलबोर्नमिर्जापुरमोगामोहालीमुरादाबादमुरैनामाउंट', 'प्रदेशभोपालइंदौरग्वालियरजबलपुरउज्जैनसागरइटारसीविदिशागुनासीहोररतलामबैतूलहरदाझाबुआखरगोननीमचमन्दसौरशिवपुरीभिंडशाजापुरछतरपुरदमोहरायसेनखंडवाहोशंगाबाददिल्लीउत्तर']
['लैटिनाज', 'लैटिनप', 'बाइनोमियल', 'लैटिनः', 'लैटिनी', 'करंदस', 'लैटिन्']
['लैटिनाज', 'लैटिनप', 'बाइनोमियल', 'लैटिनः', 'लैटिनी', 'करंदस', 'लैटिन्']
['लेबनीझ', 'माथेरानकन्याकुमारीकन्नूरकानपुरकन्याकुमारीकर्नालकाशीपुरकाठमांडूकटनीकेदारनाथखजुराहोखंडालाखंडवाखन्नाखरगोनकिशनगढ़कोच्चिकोडगुकोडईकनालकोलकाताकोणार्ककोरबाकोटाकोझीकोडकुल्लूलेहल्हासालोम्बार्डीलोनीएन्क्लेवलखनऊलुधियानामदुरईमहाबलेश्वरमहाबलीपुरममलेरकोटलामनालीमंदसौरमंगलोरमथुरामऊमक्कामेरठमेलबोर्नमिर्जापुरमोगामोहालीमुरादाबादमुरैनामाउंट', 'लेबनानी', 'लेबनाम', 'चुनेअबोहरएडिलेडआदित्यपुरआगराअहमदनगरअहमदाबादअजमेरअलप्पुझाअलीगढ़इलाहाबादअलवरअमरावतीअंबालाअंबिकापुरअमृतसरअमरोहाऑकलैंडऔरंगाबादबदौनबद्रीनाथबहादुरगढ़बहराइचबालाघाटबाँदाबंगलुरुबारांबरेलीबरनालाबस्तरबटालाबठिंडाब्यावरबीजिंगभरतपुरभिलाईभीलवाड़ाभिंडभिवाड़ीभिवानीभोपालभुवनेश्वरबीजापुरबीकानेरबिलासपुरबोकारोब्रिस्बेनबुलंदशहरबूंदीबुरहानपुरकैनबरा', 'बुरूंडीकोमोरोज़जिबूतीईरीट्रियाइथियोपियाकीनियामैडागास्करमलावीमारीशसमोजाम्बिकरवांडासेशल्ससोमालियातंजानियायुगांडाजाम्बियाज़िम्बाबवे', 'जॉबटीनटूनटेनिसटैटूटॉपलेसट्विंकडडचडबलडेस्कततंगतिकड़ीतुर्कीतुर्कीथथाईथोंगददर्ददाईदादादादीदिखावटीदुर्व्यवहारदुल्हनदूधदृश्यरतिधधूम्रपानधोखाननकदनंगा']
['माथेरानकन्याकुमारीकन्नूरकानपुरकन्याकुमारीकर्नालकाशीपुरकाठमांडूकटनीकेदारनाथखजुराहोखंडालाखंडवाखन्नाखरगोनकिशनगढ़कोच्चिकोडगुकोडईकनालकोलकाताकोणार्ककोरबाकोटाकोझीकोडकुल्लूलेहल्हासालोम्बार्डीलोनीएन्क्लेवलखनऊलुधियानामदुरईमहाबलेश्वरमहाबलीपुरममलेरकोटलामनालीमंदसौरमंगलोरमथुरामऊमक्कामेरठमेलबोर्नमिर्जापुरमोगामोहालीमुरादाबादमुरैनामाउंट', '1705070806', '35hRY8inXixy2dFbYXmkxBsx39goTZAPhB7LOmHTrJsqIUrLNrN_1YV8h3jUrZgYhAElSZobMRs7X3lU_1NizZFc7TjQm1Mbgi6EUiKF9hN5acK0', 'टिकटबुकिंगकरतेवक्\u200dतIRCTCडालरहाहैआपकीजेबपरडाकामोबाइलपरइंटरनेटकेबादअबबातकरनाभीहुआमहंगाइनकमटैक्\u200dसबचानेकेसातउपायमोबाइलपरमुफ्तरोमिंगकीशुरुआत', 'ADGEEShx7HVWrj5O1ApMvRhTadAD5ySj9DMqao7bVw1goXTK0tjcsrn5fFgmebObrlrginLHYDIK4PNARtVcvjRrvFsy4hEFTgioKvJxEo1A9O7ZMHSRz4d5tcx4VgtU', '1705024', 'पतिकुश्तीकूगरकेमेराकेलाकोरियाईक्यूबाईक्रिसमसक्रीमपीएक्रूरक्लबखखिलौनेखेलख्याति']
['लीबिया.कै', 'लीबियाई', 'लीबियाकी', 'लीबिय\u200cन\u200c', 'लीबियन', "Bid'ah", 'नीमीबियाई']
['लिथुनियाई', 'सिफनियाई', 'आयोओनियाई', 'बॉसनियाई', 'नियाई', 'बोथनियाई', 'अलबेनियाई']
['गौतस्करी', 'एस्करी', 'गोतस्करी', 'मडगास्कर', 'स्करी', 'महाभास्करीयम्', 'लस्करी']
['रिंगिट', 'मलेशियन', 'रिंगित', 'मलेशियान', '13एशियाई', 'मलयेशियाई', 'हैंएशियाई']
['माल्टा', 'माल्टीस', 'माल्टीज', 'माल्टो', 'माल्टे', 'माल्टेस', 'माल्टाज़ार्ड']
['झिल्लीई', 'झिल्लीं', 'झिल्लीनुमा', 'झिल्लीयुक्त', 'झिल्लीके', 'झिल्लियाँ', 'टल्लीदार']
['दुधारु', 'परिवर्तनदुधारू', 'दुधार', 'दूधारू', 'दुधाला', 'बुधारू', 'गाय']
['मंगोलवंश', 'मंगोड़े', 'तुर्कमंगोल', 'मंगोलॉयड', 'इतिहासमंगोल', 'मंगोलो', 'मंगोलपूरी']
['मंगोलिय', 'मंगोलियाइ', 'मंगोलिक', 'मंगोलॉयड', 'मोंगोलियन', 'मंगोलिन', 'मंगोलियायी']
['कोल्मिबियाई', 'उबियाई', '6कैरिबियाई', 'लिबियाई', 'नामिबिया', 'कशूबियाई', 'कोलॉम्बियाई']
['निकारब', 'निकारइ', 'निकाळा', 'निकाब', 'निकारण', 'निकार', 'निकारा']
['नाइजीरियाआई', 'नाइजीरियन', 'नाइजीरिया', '1नाइजीरिया', '6नाइजीरिया', '4नाइजीरिया', 'नाइजीरिय']
['लगनाकुछ', 'लगने', 'अलगना', 'हिलगना', 'लगाना', 'a20१TU', 'सिलगना']
['Picazo', 'ओमानटेल', 'सौमानी', 'ओमान्', 'ओमाना', 'ओमानियों', 'ओमान']
['पाकिस्तान_के_प्रधानमंत्रियों_की_सूची', 'पाकिस्तान_के_दूरभाष_कोडों_की_सूची', 'पाकिस्तानी४', 'पाकिस्तान_के_वर्तमान_मुख्यमंत्रियों_की_सूची', 'पाकिस्तानीगिलगित', 'पाकिस्तानसाँस', 'पाकिस्तानदैनिक']
['प्रायद्वीपहै', 'प्रायद्वीपया', 'प्रायद्वीपमें', 'प्रायद्वीपछुपी', 'प्रायद्वीप', 'प्रायद्वीपों', 'प्राद्वीपीय']
['दवाऔषधीय', 'औदषधीय', 'पोषधीय', 'इलाजऔषधीय', 'जैवऔषधीय', 'आलेखऔषधीय', 'औषधीयों']
['बहुभु', 'बहुभुजीय', 'बहुभुजों', 'बहुभुजी', 'समबहुभुजों', 'ल.स.प', 'सुभुज']
['रवांडन', 'गणराज्यरवांडासाओ', 'रूवांडा', 'कागमे', 'Motulsky', 'किन्यारवांडा', 'र्\u200dवांडा']
['मेइद्ज़ी', 'बोन्ज़ी', 'कोट्ज़ी', 'जेर्ज़ी', 'ख़ुदग़र्ज़ी', 'आर्ज़ी', 'अम्ज़ी']
['पूसम11', 'फ़ियु', 'मादुएआ', 'सहकेश', 'पूसम', 'मुकदाहान', 'ङ्गिअन']
['साइबेरियन', 'साइबेरिन', 'साइबेरिया', 'आइबेरियाई', 'लाइबेरियाई', 'साइबीरियाई', 'आईबेरियाई']
['सिंगापुर\u200c', 'सिंगापुरबस', 'सिंगापुर१९', 'सिंगापुर:द', 'सिंगापुरियन', 'सिंगापु', 'सिंगापुरा']
['सिंहलीज', 'सिंहलीज़', 'මස්බැද්ද', 'सिंहली:ශ්\u200dරී', 'පුහුල්', 'सिंहलीला', 'सिंहलों']
['सूडान\u200c', 'सूडानः', 'सूडानीज', 'सूडानमैडागास्करमलावीमारीशसमोजाम्बिकरवांडासेशल्ससोमालियातंजानियायुगांडाजाम्बियाज़िम्बाबवे', 'माथेरानकन्याकुमारीकन्नूरकानपुरकन्याकुमारीकर्नालकाशीपुरकाठमांडूकटनीकेदारनाथखजुराहोखंडालाखंडवाखन्नाखरगोनकिशनगढ़कोच्चिकोडगुकोडईकनालकोलकाताकोणार्ककोरबाकोटाकोझीकोडकुल्लूलेहल्हासालोम्बार्डीलोनीएन्क्लेवलखनऊलुधियानामदुरईमहाबलेश्वरमहाबलीपुरममलेरकोटलामनालीमंदसौरमंगलोरमथुरामऊमक्कामेरठमेलबोर्नमिर्जापुरमोगामोहालीमुरादाबादमुरैनामाउंट', 'बांग्लादेश_में_शहरों_की_सूची', 'प्रांतईरान']
['स्वाजीलैंड', 'स्वाज़ी', 'स्वाजीलैण्ड', 'ज़ीलैंड', 'अफ्रीकास्वाजीलैंड', 'स्वाज़ेर्शी', 'मोज़ाम्बिक़']
